Designator,Mid X,Mid Y,Layer,Rotation
D202,72.985mm,51.08499mm,Top,0.0
C143,59.184999999999995mm,51.984989999999996mm,Top,90.0
C144,57.98499999999999mm,51.984989999999996mm,Top,270.0
C145,56.785mm,51.984989999999996mm,Top,90.0
C146,55.584999999999994mm,51.984989999999996mm,Top,90.0
C112,70.27279999999999mm,42.599689999999995mm,Bottom,180.0
C111,80.585mm,43.08499mm,Bottom,0.0
C123,54.98499999999999mm,24.459989999999998mm,Bottom,180.0
C117,54.98499999999999mm,23.19249mm,Bottom,180.0
C105,76.785mm,30.68499mm,Bottom,180.0
C100,79.35749999999999mm,30.68499mm,Bottom,0.0
C229,59.184999999999995mm,52.89009mm,Bottom,270.0
C224,81.035mm,54.28499mm,Top,270.0
C223,81.035mm,50.03499mm,Top,270.0
C222,80.985mm,52.984989999999996mm,Bottom,90.0
C221,60.762299999999996mm,50.21219mm,Top,90.0
C220,60.869699999999995mm,50.18499mm,Bottom,90.0
C225,65.38489999999999mm,51.13499mm,Bottom,90.0
C226,64.285mm,51.13499mm,Bottom,90.0
C227,62.134899999999995mm,51.13499mm,Bottom,90.0
C228,61.0697mm,53.89009mm,Bottom,270.0
C212,70.1849mm,51.13499mm,Bottom,90.0
C213,69.085mm,51.13499mm,Bottom,90.0
C214,66.9349mm,51.13499mm,Bottom,90.0
C215,65.89059999999999mm,53.89009mm,Bottom,270.0
C200,79.7849mm,51.13499mm,Bottom,90.0
C201,78.68499999999999mm,51.13499mm,Bottom,90.0
C202,76.5349mm,51.13499mm,Bottom,90.0
C203,75.49449999999999mm,53.89009mm,Bottom,270.0
C195,67.9349mm,45.68499mm,Bottom,90.0
C190,53.834999999999994mm,45.83499mm,Bottom,90.0
C185,75.035mm,45.68499mm,Bottom,90.0
C180,60.834999999999994mm,45.68499mm,Bottom,90.0
C142,55.584999999999994mm,54.88499mm,Bottom,90.0
C141,56.785mm,54.88499mm,Bottom,90.0
C139,57.984899999999996mm,54.88499mm,Bottom,270.0
C135,59.184999999999995mm,54.88499mm,Bottom,90.0
C211,70.67689999999999mm,53.89009mm,Bottom,270.0
C210,71.7349mm,51.13499mm,Bottom,90.0
C209,73.88499999999999mm,51.13499mm,Bottom,90.0
C208,74.9849mm,51.13499mm,Bottom,90.0
C147,64.23499999999999mm,37.47629mm,Bottom,0.0
F101,79.285mm,24.28779mm,Bottom,270.0
R134,70.035mm,24.78499mm,Bottom,180.0
R133,70.035mm,23.609989999999996mm,Bottom,180.0
C133,69.88499999999999mm,26.89499mm,Bottom,270.0
R131,63.089mm,41.54119mm,Bottom,0.0
R130,69.7849mm,36.359989999999996mm,Bottom,270.0
R129,69.7849mm,40.234989999999996mm,Bottom,270.0
Y101,67.49759999999999mm,28.467589999999998mm,Bottom,180.0
C116,66.5564mm,29.95639mm,Bottom,0.0
C115,68.4206mm,29.94269mm,Bottom,180.0
C124,64.23499999999999mm,38.61609mm,Bottom,180.0
R121,54.55959999999999mm,22.10799mm,Bottom,0.0
R106,60.73499999999999mm,23.959989999999998mm,Bottom,180.0
J101,55.38499999999999mm,23.234989999999996mm,Top,0.0
C108,68.285mm,26.88499mm,Bottom,180.0
R105,50.335899999999995mm,39.50389mm,Top,180.0
R104,50.5359mm,40.693889999999996mm,Top,180.0
R103,50.335899999999995mm,41.803889999999996mm,Top,180.0
R125,49.785mm,53.36499mm,Top,90.0
C104,75.93499999999999mm,22.28499mm,Bottom,270.0
C137,68.5898mm,42.57649mm,Top,180.0
D101,79.15549999999999mm,28.04049mm,Bottom,0.0
C101,52.1934mm,22.10799mm,Bottom,0.0
R102,80.35749999999999mm,29.61049mm,Bottom,0.0
R101,69.7849mm,32.484989999999996mm,Bottom,90.0
D102,50.48499999999999mm,23.484989999999996mm,Top,270.0
Y102,64.84119999999999mm,33.498490000000004mm,Bottom,270.0
R122,50.48499999999999mm,43.68499mm,Bottom,180.0
R123,52.7752mm,45.70909mm,Bottom,90.0
R127,64.685mm,27.78499mm,Bottom,0.0
R128,61.0072mm,41.54119mm,Bottom,0.0
D106,72.33189999999999mm,28.92009mm,Top,0.0
D105,72.33189999999999mm,30.72009mm,Top,0.0
D107,66.17999999999999mm,25.19549mm,Bottom,0.0
D104,72.33189999999999mm,32.520089999999996mm,Top,0.0
D103,72.33189999999999mm,34.32009mm,Top,0.0
C140,64.685mm,28.88499mm,Bottom,180.0
C132,67.11749999999999mm,32.50989mm,Bottom,270.0
C136,67.11749999999999mm,34.585089999999994mm,Bottom,90.0
C127,56.48499999999999mm,41.54119mm,Bottom,180.0
C138,80.9511mm,25.51279mm,Bottom,270.0
C130,66.4675mm,39.63149mm,Bottom,180.0
C131,56.48499999999999mm,42.68499mm,Bottom,180.0
C122,66.4675mm,37.47629mm,Bottom,0.0
C114,50.616699999999994mm,27.68499mm,Top,180.0
C103,76.985mm,22.28499mm,Bottom,270.0
C113,50.616699999999994mm,26.48499mm,Top,0.0
C102,76.785mm,29.61049mm,Bottom,0.0
U105,61.075599999999994mm,33.63499mm,Top,90.0
R430,98.054997mm,74.2575mm,Bottom,0.0
C431,90.40499700000001mm,70.80749999999999mm,Bottom,180.0
C430,94.104997mm,70.80749999999999mm,Bottom,0.0
U430,92.784997mm,74.05749999999999mm,Bottom,270.0
D430,98.054997mm,71.83749999999999mm,Bottom,270.0
